zone,town,new_houses,existing_houses,renovated_houses,new_apartments,existing_apartments,renovated_apartments
1,1 - Darwin,6.4,,,7.3,,
2,2 - Port Hedland,7.1,,,,,
3,3 - Longreach,6.1,,,,,
4,4 - Carnarvon,6.2,,,,,
5,5 - Townsville,6.8,6.5,6.4,7,,
6,6 - Alice Springs,5.6,,5.4,,,
7,7 - Rockhampton,7,,,6.8,,
8,8 - Moree,5.7,,,,,
9,9 - Amberley,6.4,,6.3,6.5,,
10,10 - Brisbane,6.3,5.8,5.9,6.3,,
11,11 - Coffs Harbour,6.1,,,6.6,,
12,12 - Geraldton,6.8,,5.4,,,
13,13 - Perth,6.2,5.1,5.6,7.2,,
14,14 - Armidale,5.9,,,6.9,,
15,15 - Williamtown,5.9,,5.6,6.4,,
16,16 - Adelaide,6.3,4.1,6.3,6.6,,
17,17 - Sydney,5.5,,,6.5,,
18,18 - Nowra,5.7,,,6.3,,
19,19 - Charleville,6,,,6.5,,
20,20 - Wagga,6.2,3.4,5.4,6.9,,
21,21 - Melbourne,6.2,1.5,4.6,7,2.4,5
22,22 - East Sale,6.3,2.5,5.2,7.5,,
23,23 - Launceston,6.4,,6.1,6.7,,
24,24 - Canberra,6.4,4.1,6.4,7.2,4.6,
25,25 - Cabramurra,6.2,2.5,5,7.2,,
26,26 - Hobart,6.5,4.5,6.3,7.2,,7.1
27,27 - Mildura,6.3,2.1,5.3,6.4,,
28,28 - Richmond,5.9,,5.8,6.5,,
29,29 - Weipa,6.4,,,6.8,,
30,30 - Wyndham,7,,,,,
31,31 - Willis Island,6.7,,,,,
32,32 - Cairns,6.7,,7.1,6.7,,
33,33 - Broome,7.1,,,,,
34,34 - Learmonth,6.6,,,,,
35,35 - Mackay,6.7,,6.1,7.2,,
36,36 - Gladstone,7.1,,6.5,7.3,,
37,37 - Halls Creek,7,,,,,
39,39 - Mt Isa,6.3,,,6.5,,
40,40 - Newman,6.8,,,,,
41,41 - Giles,6.4,,,,,
42,42 - Meekatharra,6.9,,,,,
44,44 - Kalgoorlie,6.5,,6.3,,,
45,45 - Woomera,6.2,,,,,
46,46 - Cobar,6.3,,,,,
47,47 - Bickley,6.1,,4.8,,,
48,48 - Dubbo,6.3,,5.5,6.6,,
49,49 - Katanning,6.4,,,,,
50,50 - Oakey,6.3,,6,7,,
52,52 - Swanbourne,6.1,,5.4,6.9,,
53,53 - Ceduna,6.2,,6.3,,,
54,54 - Mandurah,6.2,5.3,5.1,6.8,,
55,55 - Esperance,6.2,,,,,
56,56 - Mascot,5.7,,5.2,6.2,5.8,5.3
57,57 - Manjimup,6.1,4.9,,,,
58,58 - Albany,6.1,5.5,4.9,,,
59,59 - Mt Lofty,6.1,5.1,6.1,,,
60,60 - Tullamarine,6.2,2.3,4.6,6.8,,
61,61 - Mt Gambier,6.1,3.3,6.1,,,
62,62 - Moorabbin,6.2,2.1,4.5,6.9,,6.3
63,63 - Warrnambool,6.3,2.2,4.4,6.6,,
64,64 - Cape Otway,6.2,2.5,4.7,6.4,,
65,65 - Orange,5.9,,,5.9,,
66,66 - Ballarat,6.2,2.3,4.7,7,,6.5
67,67 - Low Head,6.5,3.3,5.9,7,,
68,68 - Launceston Airport,6.6,3.4,6.1,,,
69,69 - Thredbo,5.7,,6.1,6.3,,
